item,category,subcategory,price
GUACAMOLE,Food,Appetizer,700
BRUSCHETTA,Food,Appetizer,600
BRUSCHETTA,Food,Appetizer,600
GARLIC BREAD,Food,Appetizer,800
MINI PIZZAS,Food,Appetizer,500
HOTDOG,Food,Sandwiches,700
CHICKEN SANDWICH,Food,Sandwiches,900
VEGETABLE SANDWICH,Food,Sandwiches,800
FRESH TUNA SANDWICH,Food,Sandwiches,1000
TOMATO AND MOZZARELLA,Food,Sandwiches,800
CHEESE BURGER,Food,Burgers,900
BEEF BURGER,Food,Burgers,900
CHICKEN BURGER,Food,Burgers,900
VEGETABLE BURGER,Food,Burgers,800
FISH BURGER,Food,Burgers,1000
RUSSIAN SALAD,Food,Salads,800
SHAMBA SALAD,Food,Salads,700
SEAFOOD SALAD,Food,Salads,1200
AVOCADO SALAD,Food,Salads,900
CHICKEN S ALAD,Food,Salads,1000
EGGPLANT LASAGNA,Food,Vegeterian,1000
GRATIN VEGETABLES,Food,Vegeterian,800
FRIED VEGETABLE TEMPURA,Food,Vegeterian,1000
VEGETABLE CURRY,Food,Vegeterian,900
PLAIN CHIPS,Food,Vegeterian,500
FISH FINGER,Food,Maindishes,1200
SEAFOOD CURRY,Food,Maindishes,1200
CHICKEN PILIPILI,Food,Maindishes,1200
FRITTO MISTO,Food,Maindishes,1800
BEEF SKEWERS,Food,Maindishes,1000
PUMPKIN SOUP,Food,Soups,800
POTATOES AND LEAKS SOUP,Food,Soups,800
ZUCCHINI CREAM SOUP,Food,Soups,800
VEGETABLE CREAM SOUP,Food,Soups,800
COCONUT BROCCOLI SOUP,Food,Soups,800
FOCACCIA,Food,Pizza,700
MARINARA,Food,Pizza,800
MARGHERITA,Food,Pizza,700
HAWAI,Food,Pizza,1000
NAPOLI,Food,Pizza,1200
ICE CREAM,Food,Dessert,400
FRUIT SALAD,Food,Dessert,500
MILKSHAKE,Food,Dessert,700
BLACKFOREST,Food,Dessert,700
COOKIES,Food,Dessert,400
PINACOLADA,Drinks,Cocktail,800
CUBALIBRE,Drinks,Cocktail,800
POLE POLE,Drinks,Cocktail,800
MOJITO,Drinks,Cocktail,800
LALA SALAMA,Drinks,Cocktail,800
ESPRESSO,Drinks,Coffee,200
MACCHIATO,Drinks,Coffee,250
CAPUCCINO,Drinks,Coffee,350
AMERICANO,Drinks,Coffee,250
ICE COFFEE,Drinks,Coffee,400
